Dat,AgtId
14/08/2004,1698
24/06/1992,1699
04/07/1992,1700
14/09/1993,1701
26/09/1997,1703
17/11/1999,1704
05/07/1994,1707
31/08/1993,1709
04/06/1993,1710
16/12/2015,1712
03/03/1992,1713
01/09/2001,1715
18/07/2011,1716
06/12/2005,1717
15/06/2002,1719
29/03/1991,1720
17/06/1993,1721
27/06/1993,1722
24/07/1993,1723
25/07/1993,1724
27/07/1993,1725
28/07/1993,1726
05/08/1993,1727
17/08/1993,1728
30/08/1993,1729
10/09/1993,1730
13/09/1993,1731
28/04/1994,1732
27/07/1994,1733
19/10/2015,1734
16/07/2001,1735
13/07/1999,1737
20/07/1999,1738
16/05/1991,1740
03/09/1994,1741
25/04/1996,1742
14/10/2004,1743
07/08/2007,1744
30/07/2007,1745
13/09/2007,1746
15/10/2007,1747
23/12/2007,1748
28/02/2008,1749
02/03/2008,1750
19/03/2008,1751
01/04/2008,1752
25/06/2008,1753
05/09/2008,1754
26/12/2008,1755
11/12/2008,1756
31/12/2008,1757
10/01/2009,1758
18/01/2009,1759
21/02/2010,1760
14/03/2009,1761
16/03/2009,1762
20/03/2009,1763
24/03/2009,1764
11/04/2009,1765
12/04/2009,1766
21/06/2009,1767
12/11/2009,1768
18/05/2006,1769
11/07/2000,1773
16/04/2001,1774
11/05/2001,1775
14/08/2001,1776
17/01/2002,1777
11/02/2002,1778
29/03/2002,1779
03/11/2008,1780
15/09/2008,1781
31/03/1998,1782
11/02/1999,1783
29/04/1999,1784
23/01/2001,1785
11/07/2000,1794
11/07/2000,1795
07/05/2010,1797
28/05/2010,1798
13/09/2010,1799
06/07/2005,1800
19/01/2000,1803
13/08/2004,1804
18/09/1994,1805
19/04/1994,1806
24/06/1996,1807
24/06/1996,1808
27/01/1994,1809
05/05/1999,1811
03/09/2003,1812
08/03/1999,1813
30/09/1999,1814
06/11/1999,1815
15/05/2000,1816
20/08/2002,1817
05/05/2012,1819
01/03/2013,1820
02/06/2015,1823
25/11/1999,1828
08/11/2008,1829
05/11/2003,1830
11/07/2002,1832
23/09/2002,1833
23/01/2003,1834
09/06/2015,1835
26/04/2005,1836
27/07/1994,1837
01/04/1995,1838
25/07/1997,1839
05/08/2014,1840
02/11/2013,1841
21/02/2011,1842
13/07/2013,1843
30/05/2014,1844
26/10/1992,1846
21/05/1993,1847
11/02/1993,1848
